@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
351,'2020/04/27 08:48:29:837',6,0.863308,0.766975,12.053455,1.71044,2
352,'2020/04/27 08:48:30:057',6,-84.216034,-15.262107,-29.926882,-1.887116,2
353,'2020/04/27 08:48:30:260',6,85.703247,15.003539,17.178593,0.469683,2
354,'2020/04/27 08:48:30:453',6,-31.900301,-2.867405,2.775116,-0.105774,2
355,'2020/04/27 08:48:48:341',7,-12.404422,0.730814,1.980835,-0.733654,3
356,'2020/04/27 08:48:48:585',7,-11.072578,-3.71561,2.012901,3.246968,3
357,'2020/04/27 08:48:48:827',7,14.534266,5.844359,0.833601,-2.013853,3
358,'2020/04/27 08:48:49:016',7,0.171663,-6.219931,-7.931841,1.390726,3
359,'2020/04/27 08:48:49:222',7,8.979029,5.728189,11.76491,-1.960873,3
360,'2020/04/27 08:48:49:437',7,-7.064543,-2.825402,-8.733315,-0.158892,3
361,'2020/04/27 08:48:49:665',7,-21.216923,-5.876483,-6.312509,3.857745,3
362,'2020/04/27 08:48:49:913',7,31.490917,11.68482,23.263746,-3.240253,3
363,'2020/04/27 08:48:50:158',7,-8.872598,-5.705635,-16.545673,-0.846606,3
364,'2020/04/27 08:48:50:349',7,-8.900111,-0.506045,1.337549,1.714377,3
365,'2020/04/27 08:48:50:863',7,-0.809021,-1.4986,1.394643,-0.830444,3
366,'2020/04/27 08:48:50:896',7,3.923937,-0.141286,-9.825843,2.071849,3
367,'2020/04/27 08:48:51:097',7,20.085945,6.159704,18.865337,-2.848063,3
368,'2020/04/27 08:48:51:306',7,-26.390329,-3.966799,-8.12844,1.217385,3
369,'2020/04/27 08:48:51:529',7,-2.666266,-2.529422,0.731212,-0.271118,3
370,'2020/04/27 08:48:51:688',7,10.186952,3.402148,-4.945665,0.482079,3
371,'2020/04/27 08:48:51:952',7,17.802402,-0.27825,2.250929,-1.176709,3
372,'2020/04/27 08:48:52:268',7,-15.818665,0.536988,5.624466,1.69488,3
373,'2020/04/27 08:48:52:537',7,-16.901613,-1.721207,-13.278759,-0.422014,3
374,'2020/04/27 08:48:52:782',7,28.58267,0.740624,11.482802,-1.798832,3
375,'2020/04/27 08:48:53:009',7,-8.419834,0.003767,-1.090788,1.052627,3
